STORE,UPC,_FREQ_,_STAT_,MOVE,category,SALE,OK,PRICE,QTY,date,acf_lag1,SaleDummy,SaleBS,Coupon,Buy,Simple,Move1,logMove1
86,4640055081,153,MEAN,18,Soft Drinks,B,1,0.99,1,09JUN1991,-0.227812777,1,1,0,1,0,19,2.9444389792
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.29,1,16JUN1991,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,30,Soft Drinks,S,1,0.89,1,23JUN1991,-0.227812777,1,1,0,0,1,31,3.4339872045
86,4640055081,153,MEAN,3,Soft Drinks,M,1,1.29,1,30JUN1991,-0.227812777,0,0,0,0,0,4,1.3862943611
86,4640055081,153,MEAN,29,Soft Drinks,B,1,0.89,1,07JUL1991,-0.227812777,1,1,0,1,0,30,3.4011973817
86,4640055081,153,MEAN,2,Soft Drinks,M,1,1.29,1,14JUL1991,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,26,Soft Drinks,M,1,0.89,1,21JUL1991,-0.227812777,0,0,0,0,0,27,3.295836866
86,4640055081,153,MEAN,9,Soft Drinks,M,1,1.19,1,28JUL1991,-0.227812777,0,0,0,0,0,10,2.302585093
86,4640055081,153,MEAN,7,Soft Drinks,M,1,1.19,1,04AUG1991,-0.227812777,0,0,0,0,0,8,2.0794415417
86,4640055081,153,MEAN,43,Soft Drinks,S,1,0.79,1,11AUG1991,-0.227812777,1,1,0,0,1,44,3.7841896339
86,4640055081,153,MEAN,17,Soft Drinks,M,1,1.19,1,18AUG1991,-0.227812777,0,0,0,0,0,18,2.8903717579
86,4640055081,153,MEAN,34,Soft Drinks,S,1,0.89,1,25AUG1991,-0.227812777,1,1,0,0,1,35,3.5553480615
86,4640055081,153,MEAN,7,Soft Drinks,S,1,1.19,1,01SEP1991,-0.227812777,1,1,0,0,1,8,2.0794415417
86,4640055081,153,MEAN,27,Soft Drinks,M,1,0.89,1,08SEP1991,-0.227812777,0,0,0,0,0,28,3.3322045102
86,4640055081,153,MEAN,5,Soft Drinks,M,1,1.19,1,15SEP1991,-0.227812777,0,0,0,0,0,6,1.7917594692
86,4640055081,153,MEAN,16,Soft Drinks,B,1,0.99,1,22SEP1991,-0.227812777,1,1,0,1,0,17,2.8332133441
86,4640055081,153,MEAN,18,Soft Drinks,B,1,0.99,1,29SEP1991,-0.227812777,1,1,0,1,0,19,2.9444389792
86,4640055081,153,MEAN,24,Soft Drinks,B,1,0.99,1,06OCT1991,-0.227812777,1,1,0,1,0,25,3.2188758249
86,4640055081,153,MEAN,9,Soft Drinks,B,1,0.99,1,13OCT1991,-0.227812777,1,1,0,1,0,10,2.302585093
86,4640055081,153,MEAN,20,Soft Drinks,B,1,0.99,1,20OCT1991,-0.227812777,1,1,0,1,0,21,3.0445224377
86,4640055081,153,MEAN,16,Soft Drinks,M,1,0.99,1,27OCT1991,-0.227812777,0,0,0,0,0,17,2.8332133441
86,4640055081,153,MEAN,20,Soft Drinks,S,1,0.89,1,03NOV1991,-0.227812777,1,1,0,0,1,21,3.0445224377
86,4640055081,153,MEAN,14,Soft Drinks,B,1,0.99,1,10NOV1991,-0.227812777,1,1,0,1,0,15,2.7080502011
86,4640055081,153,MEAN,28,Soft Drinks,S,1,0.89,1,17NOV1991,-0.227812777,1,1,0,0,1,29,3.36729583
